City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Hanzhong,CN,2022-04-02 20:04:54,33.0728,107.0303,52.54,73,0,3.02
268,Lagoa,PT,2022-04-02 20:04:54,39.05,-27.9833,58.89,70,53,11.63
269,Namanga,KE,2022-04-02 20:04:54,-2.5433,36.7905,66.31,79,100,6.02
270,Karpogory,RU,2022-04-02 20:04:55,64.0019,44.4451,5.94,98,18,2.95
271,Codrington,AU,2022-04-02 20:04:55,-38.2667,141.9667,55.09,88,43,5.68
272,Talca,CL,2022-04-02 20:04:40,-35.4333,-71.6667,82.04,21,41,6.29
273,Uirauna,BR,2022-04-02 20:05:56,-6.5183,-38.4122,85.57,56,44,0.85
274,Caravelas,BR,2022-04-02 20:05:56,-17.7125,-39.2481,80.71,71,0,6.35
275,Kamenka,RU,2022-04-02 20:05:56,51.3223,42.7678,57.54,63,20,18.54
276,Belyy Yar,RU,2022-04-02 20:05:57,53.6039,91.3903,35.85,93,75,6.71
277,Qaqortoq,GL,2022-04-02 20:05:57,60.7167,-46.0333,37.92,93,100,3.18
278,Slave Lake,CA,2022-04-02 20:05:57,55.2834,-114.769,41.99,53,99,9.57
279,Ascension,US,2022-04-02 20:05:58,30.2169,-90.9001,82.09,44,0,5.75
280,East London,ZA,2022-04-02 20:05:58,-33.0153,27.9116,66.09,86,100,9.95
281,Sorong,ID,2022-04-02 20:05:58,-0.8833,131.25,79.61,81,100,5.48
282,Olafsvik,IS,2022-04-02 20:05:59,64.8945,-23.7142,41.63,96,100,18.79
283,Menongue,AO,2022-04-02 20:05:59,-14.6585,17.691,67.21,85,100,2.84
284,Beni,CD,2022-04-02 20:05:59,0.5,29.4667,68.18,71,98,4.0
285,Ust-Kan,RU,2022-04-02 20:06:00,50.9276,84.761,30.16,86,100,3.42
286,Bubaque,GW,2022-04-02 20:06:00,11.2833,-15.8333,75.22,70,100,19.86
287,Waiouru,NZ,2022-04-02 20:06:00,-39.4833,175.6667,54.01,79,68,2.19
288,Pemangkat,ID,2022-04-02 20:06:01,1.1667,108.9667,76.84,88,90,4.43
289,Oranjestad,AW,2022-04-02 20:03:52,12.524,-70.027,78.55,85,100,23.22
290,The Valley,AI,2022-04-02 20:06:01,18.217,-63.0578,82.26,69,20,16.11
291,Jumla,NP,2022-04-02 20:06:02,29.2747,82.1838,47.5,68,0,4.45
